hasy,startD,repeatVowels,presenceij,presence_dutch_frequent,presence_english_frequent,avgwordlength,startswithAvowel,hasdutch_diphtongs,hasnonEnglish,hasenglish_stopword,hasdutch_stopword,Lang,Length
0,1,0,0,0,1,0,0,1,1,1,1,0,24
0,1,1,0,0,0,0,1,1,1,0,0,0,23
1,1,0,0,1,1,0,1,1,0,1,1,1,32
0,1,0,0,0,1,0,0,1,1,1,1,1,25
0,1,1,0,1,1,0,0,0,0,1,1,1,31
1,1,1,0,0,1,0,0,1,0,1,1,1,41
0,0,0,0,0,1,0,0,0,0,1,0,1,24
1,0,0,0,0,1,0,0,0,1,1,1,1,28
1,1,0,0,0,0,0,1,1,1,0,1,0,29
1,1,1,0,0,1,0,0,1,0,1,1,1,34
1,1,1,0,1,1,0,0,0,1,1,1,1,41
1,1,1,0,0,1,0,0,1,0,1,1,1,25
1,1,0,0,0,1,0,1,1,0,1,1,1,27
1,1,1,0,0,1,0,1,0,0,1,1,1,31
0,0,1,0,0,1,0,1,1,1,1,1,1,45
1,0,0,0,0,1,0,1,1,0,1,1,1,44
1,0,1,0,0,1,0,0,1,0,1,1,1,23
0,1,0,0,0,1,0,0,1,0,1,1,1,31
1,1,0,0,0,1,0,0,1,0,1,1,1,21
0,1,0,0,0,1,0,0,1,1,1,1,0,21
1,1,0,0,0,1,0,0,1,0,1,1,1,27
0,1,0,0,0,1,0,1,1,1,1,1,0,25
1,1,0,0,0,1,0,1,1,0,1,1,1,35
0,1,0,0,0,0,0,0,1,1,1,0,0,22
1,0,1,0,1,1,0,1,1,0,1,1,1,21
0,1,0,0,0,1,0,0,1,1,1,1,0,27
0,1,0,0,0,1,0,1,1,1,1,1,0,24
1,0,1,0,1,1,0,1,0,0,1,1,1,23
1,0,0,0,0,1,0,1,1,0,1,0,1,37
1,1,0,0,0,1,0,0,1,0,1,1,1,30
1,1,0,0,0,1,0,1,1,0,1,0,1,25
1,0,1,0,1,1,0,0,1,0,1,1,1,22
1,0,0,0,0,1,0,1,1,0,1,1,1,22
1,1,0,0,0,1,0,0,1,0,1,1,1,41
1,0,1,0,0,1,0,1,1,0,1,0,1,40
0,1,0,0,0,1,0,1,1,1,1,1,0,22
1,1,1,0,0,1,0,0,1,0,1,1,1,47
1,0,0,0,0,1,0,1,1,0,1,1,1,22
1,1,0,0,0,1,0,0,1,1,1,1,0,21
1,1,0,0,0,1,0,1,1,1,0,1,0,27
1,1,0,0,1,1,0,0,1,0,1,1,1,31
0,1,1,0,0,1,0,1,1,0,1,1,1,23
1,0,0,0,0,1,0,0,1,0,1,1,1,22
1,1,0,0,0,1,0,0,0,0,1,1,1,21
0,1,0,0,0,0,1,1,1,1,0,1,0,21
0,1,1,0,0,1,0,0,1,1,1,1,0,23
1,0,1,1,1,1,0,0,0,1,1,1,1,24
